location,city,object_type,bill_num,mortgage_num,price_cleaned,rooms_cleaned_num,size_cleaned_num,floor_current_num,floor_max_num,floor_ratio
Qara Qarayev m.,baki,menziller,0,0,105000,2.0,51.0,11.0,18.0,0.6111111111111112
Həzi Aslanov q.,baki,menziller,1,1,89999,2.0,61.0,11.0,18.0,0.6111111111111112
Memar Əcəmi m.,baki,menziller,0,0,71500,1.0,55.0,17.0,17.0,1.0
7-ci mikrorayon q.,baki,menziller,0,0,124337,3.0,99.5,6.0,9.0,0.6666666666666666
Bakı,baki,menziller,0,0,89262,2.0,71.4,,,
Bakı,baki,menziller,0,0,227439,3.0,136.6,,,
Bakı,baki,menziller,0,0,323000,3.0,170.0,,,
Bakı,baki,menziller,0,0,279335,3.0,121.5,,,
Nəriman Nərimanov m.,baki,menziller,1,0,495000,4.0,225.0,6.0,16.0,0.375
İnşaatçılar m.,baki,menziller,1,1,175000,3.0,110.0,16.0,17.0,0.9411764705882353
Sabunçu r.,baki,menziller,1,0,74000,3.0,92.0,8.0,19.0,0.42105263157894735
Elmlər Akademiyası m.,baki,menziller,1,0,128000,2.0,45.0,3.0,5.0,0.6
İnşaatçılar m.,baki,menziller,1,0,161000,2.0,80.0,5.0,17.0,0.29411764705882354
8 Noyabr m.,baki,menziller,1,1,255000,4.0,157.0,12.0,19.0,0.631578947368421
Elmlər Akademiyası m.,baki,menziller,1,0,125000,3.0,67.0,3.0,5.0,0.6
Memar Əcəmi m.,baki,menziller,1,0,230000,3.0,115.0,10.0,11.0,0.9090909090909091
Elmlər Akademiyası m.,baki,menziller,1,0,75000,1.0,31.0,2.0,5.0,0.4
Yasamal q.,baki,menziller,1,0,205000,3.0,105.0,9.0,16.0,0.5625
İnşaatçılar m.,baki,menziller,1,0,180000,3.0,105.0,12.0,17.0,0.7058823529411765
Yasamal q.,baki,menziller,1,0,240000,3.0,151.0,6.0,18.0,0.3333333333333333
Nəriman Nərimanov m.,baki,menziller,1,0,390000,4.0,192.0,10.0,17.0,0.5882352941176471
İnşaatçılar m.,baki,menziller,1,0,90000,2.0,50.0,2.0,9.0,0.2222222222222222
İnşaatçılar m.,baki,menziller,1,1,230000,3.0,124.0,16.0,19.0,0.8421052631578947
Masazır q.,baki,menziller,1,0,95000,3.0,90.0,2.0,9.0,0.2222222222222222
Qara Qarayev m.,baki,menziller,0,0,116000,2.0,89.3,8.0,16.0,0.5
Yasamal r.,baki,menziller,1,1,1179000,5.0,302.0,16.0,22.0,0.7272727272727273
Şah İsmayıl Xətai m.,baki,menziller,1,0,900000,6.0,300.0,17.0,18.0,0.9444444444444444
28 May m.,baki,menziller,1,1,265000,3.0,123.0,5.0,16.0,0.3125
Sahil m.,baki,menziller,1,0,155000,2.0,46.0,3.0,3.0,1.0
Nərimanov r.,baki,menziller,0,0,200000,3.0,120.6,12.0,17.0,0.7058823529411765
Şah İsmayıl Xətai m.,baki,menziller,1,1,499000,3.0,196.0,10.0,27.0,0.37037037037037035
8-ci mikrorayon q.,baki,menziller,1,0,106000,2.0,75.0,5.0,18.0,0.2777777777777778
Yasamal r.,baki,menziller/yeni-tikili,1,1,180000,3.0,105.0,11.0,11.0,1.0
Neftçilər m.,baki,menziller/yeni-tikili,1,0,89000,2.0,76.0,8.0,17.0,0.47058823529411764
Masazır q.,baki,menziller/yeni-tikili,1,0,75500,3.0,75.0,4.0,4.0,1.0
Yasamal q.,baki,menziller/yeni-tikili,1,0,255000,3.0,140.0,10.0,18.0,0.5555555555555556
Bakı,baki,menziller/yeni-tikili,0,0,126375,3.0,101.1,,,
Bakı,baki,menziller/yeni-tikili,0,0,58750,1.0,47.0,,,
Ağ şəhər,baki,menziller/yeni-tikili,0,0,243750,3.0,125.0,,,
Bakı,baki,menziller/yeni-tikili,0,0,377729,4.0,164.2,,,
