Name,Price,Location,Date,Today,num_rooms,size,floor
2 otaqlı108 m²16/19 mərtəbə,138 000,Xətai r.,"Bakı, 03 i̇yun 2022",06/15/2022,2 ,108 ,16/19 
3 otaqlı103 m²5/9 mərtəbə,143 156,İnşaatçılar m.,"Bakı, 12 i̇yun 2022",06/15/2022,3 ,103 ,5/9 
2 otaqlı48 m²3/5 mərtəbə,110 000,Səbail r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,48 ,3/5 
3 otaqlı108.1 m²12/13 mərtəbə,153 500,20 Yanvar m.,"Bakı, 12 i̇yun 2022",06/15/2022,3 ,108.1 ,12/13 
4 otaqlı167.6 m²,251 400,28 May m.,"Bakı, 10 i̇yun 2022",06/15/2022,4 ,167.6 ,
3 otaqlı101.1 m²,126 375,Bakı,"Bakı, 08 i̇yun 2022",06/15/2022,3 ,101.1 ,
3 otaqlı142 m²,357 130,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,3 ,142 ,
4 otaqlı223 m²,583 145,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,4 ,223 ,
1 otaqlı67 m²17/18 mərtəbə,82 500,Badamdar q.,"Bakı, bugün 15:13",06/15/2022,1 ,67 ,17/18 
1 otaqlı62 m²8/22 mərtəbə,130 000,Yasamal r.,"Bakı, bugün 15:13",06/15/2022,1 ,62 ,8/22 
3 otaqlı135 m²14/16 mərtəbə,330 000,Nəriman Nərimanov m.,"Bakı, bugün 15:12",06/15/2022,3 ,135 ,14/16 
2 otaqlı66 m²1/16 mərtəbə,92 500,Elmlər Akademiyası m.,"Bakı, bugün 15:11",06/15/2022,2 ,66 ,1/16 
2 otaqlı50 m²3/5 mərtəbə,120 000,Nəriman Nərimanov m.,"Bakı, bugün 15:11",06/15/2022,2 ,50 ,3/5 
3 otaqlı97 m²4/12 mərtəbə,126 000,Yeni Yasamal q.,"Bakı, bugün 15:10",06/15/2022,3 ,97 ,4/12 
3 otaqlı116 m²6/18 mərtəbə,175 000,Nəriman Nərimanov m.,"Bakı, bugün 15:10",06/15/2022,3 ,116 ,6/18 
3 otaqlı80 m²9/9 mərtəbə,110 000,Nəriman Nərimanov m.,"Bakı, bugün 15:09",06/15/2022,3 ,80 ,9/9 
3 otaqlı107 m²18/19 mərtəbə,150 000,Yeni Yasamal q.,"Bakı, bugün 15:09",06/15/2022,3 ,107 ,18/19 
3 otaqlı147 m²4/16 mərtəbə,220 000,Nəriman Nərimanov m.,"Bakı, bugün 15:09",06/15/2022,3 ,147 ,4/16 
4 otaqlı130 m²18/18 mərtəbə,127 000,Köhnə Günəşli q.,"Bakı, bugün 15:09",06/15/2022,4 ,130 ,18/18 
3 otaqlı108 m²14/16 mərtəbə,180 000,İnşaatçılar m.,"Bakı, bugün 15:08",06/15/2022,3 ,108 ,14/16 
2 otaqlı70 m²5/5 mərtəbə,144 000,28 May m.,"Bakı, bugün 15:08",06/15/2022,2 ,70 ,5/5 
3 otaqlı101 m²8/8 mərtəbə,180 000,Nəriman Nərimanov m.,"Bakı, bugün 15:08",06/15/2022,3 ,101 ,8/8 
4 otaqlı90 m²5/5 mərtəbə,114 000,Nəriman Nərimanov m.,"Bakı, bugün 15:08",06/15/2022,4 ,90 ,5/5 
2 otaqlı78 m²10/12 mərtəbə,110 000,Memar Əcəmi m.,"Bakı, bugün 15:08",06/15/2022,2 ,78 ,10/12 
2 otaqlı60 m²8/17 mərtəbə,119 900,Nizami m.,"Bakı, bugün 15:08",06/15/2022,2 ,60 ,8/17 
3 otaqlı80 m²4/5 mərtəbə,115 000,20 Yanvar m.,"Bakı, bugün 15:08",06/15/2022,3 ,80 ,4/5 
3 otaqlı90 m²8/16 mərtəbə,190 000,Nəriman Nərimanov m.,"Bakı, bugün 15:07",06/15/2022,3 ,90 ,8/16 
4 otaqlı256 m²14/18 mərtəbə,650 000,Nəsimi r.,"Bakı, bugün 15:06",06/15/2022,4 ,256 ,14/18 
5 otaqlı118 m²3/9 mərtəbə,190 000,Nəriman Nərimanov m.,"Bakı, bugün 15:06",06/15/2022,5 ,118 ,3/9 
3 otaqlı72 m²5/5 mərtəbə,150 000,Bayıl q.,"Bakı, bugün 15:06",06/15/2022,3 ,72 ,5/5 
3 otaqlı80 m²4/5 mərtəbə,137 000,Nəriman Nərimanov m.,"Bakı, bugün 15:06",06/15/2022,3 ,80 ,4/5 
3 otaqlı126.5 m²7/18 mərtəbə,215 000,Nərimanov r.,"Bakı, bugün 15:06",06/15/2022,3 ,126.5 ,7/18 
