num_rooms,size,floor,Price,Location,Date,Today
2 ,108 ,16/19 ,138 000,Xətai r.,"Bakı, 03 i̇yun 2022",06/15/2022
3 ,103 ,5/9 ,143 156,İnşaatçılar m.,"Bakı, 12 i̇yun 2022",06/15/2022
2 ,48 ,3/5 ,110 000,Səbail r.,"Bakı, 13 i̇yun 2022",06/15/2022
3 ,108.1 ,12/13 ,153 500,20 Yanvar m.,"Bakı, 12 i̇yun 2022",06/15/2022
4 ,167.6 ,,251 400,28 May m.,"Bakı, 10 i̇yun 2022",06/15/2022
3 ,101.1 ,,126 375,Bakı,"Bakı, 08 i̇yun 2022",06/15/2022
3 ,142 ,,357 130,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022
4 ,223 ,,583 145,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022
1 ,67 ,17/18 ,82 500,Badamdar q.,"Bakı, bugün 15:13",06/15/2022
1 ,62 ,8/22 ,130 000,Yasamal r.,"Bakı, bugün 15:13",06/15/2022
3 ,135 ,14/16 ,330 000,Nəriman Nərimanov m.,"Bakı, bugün 15:12",06/15/2022
2 ,66 ,1/16 ,92 500,Elmlər Akademiyası m.,"Bakı, bugün 15:11",06/15/2022
2 ,50 ,3/5 ,120 000,Nəriman Nərimanov m.,"Bakı, bugün 15:11",06/15/2022
3 ,97 ,4/12 ,126 000,Yeni Yasamal q.,"Bakı, bugün 15:10",06/15/2022
3 ,116 ,6/18 ,175 000,Nəriman Nərimanov m.,"Bakı, bugün 15:10",06/15/2022
3 ,80 ,9/9 ,110 000,Nəriman Nərimanov m.,"Bakı, bugün 15:09",06/15/2022
3 ,107 ,18/19 ,150 000,Yeni Yasamal q.,"Bakı, bugün 15:09",06/15/2022
3 ,147 ,4/16 ,220 000,Nəriman Nərimanov m.,"Bakı, bugün 15:09",06/15/2022
4 ,130 ,18/18 ,127 000,Köhnə Günəşli q.,"Bakı, bugün 15:09",06/15/2022
3 ,108 ,14/16 ,180 000,İnşaatçılar m.,"Bakı, bugün 15:08",06/15/2022
2 ,70 ,5/5 ,144 000,28 May m.,"Bakı, bugün 15:08",06/15/2022
3 ,101 ,8/8 ,180 000,Nəriman Nərimanov m.,"Bakı, bugün 15:08",06/15/2022
